opportunity_id,bd_rep_id,sales_rep_id,created_date,closed_date,outcome,current_stage,days_in_current_stage,deal_value
OPP_0001,BD_007,SR_020,2023-05-04,,Open,Negotiation,78,20292.39
OPP_0002,BD_007,SR_020,2023-05-04,,Open,Negotiation,78,20292.39
OPP_0003,BD_005,SR_001,2023-01-27,,Open,Qualification,102,67867.12
OPP_0004,BD_004,SR_018,2023-05-20,2023-10-22,Closed Lost,Closed Lost,16,50327.33
OPP_0005,BD_012,SR_004,2023-10-18,2024-02-03,Closed Lost,Closed Lost,16,55227.66
OPP_0006,BD_006,SR_009,2024-01-10,2024-03-30,Closed Won,Closed Won,4,183665.38
OPP_0007,BD_008,SR_007,2024-06-11,2024-10-20,Closed Won,Closed Won,24,96273.09
OPP_0008,BD_001,SR_020,2023-09-18,2023-11-21,Closed Lost,Closed Lost,13,61082.66
OPP_0009,BD_011,SR_014,2023-10-14,,Open,Negotiation,101,27422.61
OPP_0010,BD_017,SR_001,2023-07-03,2023-10-24,Closed Lost,Closed Lost,13,97973.48
OPP_0011,BD_006,SR_001,2024-01-20,,Open,Negotiation,85,34719.95
OPP_0012,BD_012,SR_014,2024-01-15,,Open,Proposal,59,11295.2
OPP_0013,BD_006,SR_023,2024-10-04,,Open,Proposal,67,41678.99
OPP_0014,BD_016,SR_006,2023-06-11,,Open,Qualification,61,93087.15
OPP_0015,BD_014,SR_008,2023-01-01,,Open,Negotiation,117,54355.71
OPP_0016,BD_005,SR_016,2023-09-04,2024-01-03,Closed Won,Closed Won,4,34915.27
OPP_0017,BD_016,SR_023,2024-09-27,2025-01-01,Closed Won,Closed Won,14,16651.52
OPP_0018,BD_004,SR_001,2024-09-19,,Open,Qualification,13,37219.03
OPP_0019,BD_018,SR_013,2024-04-03,,Open,Negotiation,111,16106.27
OPP_0020,BD_014,SR_002,2023-05-28,2023-09-30,Closed Won,Closed Won,28,74618.79
OPP_0021,BD_004,SR_019,2023-06-06,2023-08-30,Closed Won,Closed Won,11,52790.87
OPP_0022,BD_018,SR_010,2023-10-07,2024-02-28,Closed Lost,Closed Lost,10,39953.5
OPP_0023,BD_013,SR_021,2023-06-19,,Open,Qualification,105,93875.06
OPP_0024,BD_005,SR_007,2023-07-26,,Open,Negotiation,26,50853.76
OPP_0025,BD_015,SR_022,2024-09-19,2025-01-24,Closed Lost,Closed Lost,17,38927.85
OPP_0026,BD_014,SR_016,2023-01-25,2023-07-22,Closed Lost,Closed Lost,8,61680.25
OPP_0027,BD_004,SR_022,2024-10-01,,Open,Qualification,58,111552.52
OPP_0028,BD_008,SR_005,2024-03-25,,Open,Proposal,11,60900.1
OPP_0029,BD_012,SR_010,2024-10-26,2024-12-26,Closed Lost,Closed Lost,4,147285.68
OPP_0030,BD_015,SR_023,2024-11-26,2025-02-26,Closed Lost,Closed Lost,24,83966.53
OPP_0031,BD_012,SR_014,2024-01-15,,Open,Proposal,59,11295.2
OPP_0032,BD_015,SR_011,2024-02-16,,Open,Negotiation,39,26026.03
OPP_0033,BD_015,SR_011,2024-02-16,,Open,Negotiation,39,26026.03
OPP_0034,BD_010,SR_010,2023-06-08,,Open,Qualification,7,94107.29
OPP_0035,BD_017,SR_020,2023-01-24,,Open,Qualification,116,33393.73
OPP_0036,BD_002,SR_008,2024-03-19,2024-07-29,Closed Won,Closed Won,6,29514.3
OPP_0037,BD_012,SR_006,2023-09-06,2023-11-29,Closed Won,Closed Won,26,12303.81
OPP_0038,BD_006,SR_023,2024-10-04,,Open,Proposal,67,41678.99
OPP_0039,BD_011,SR_004,2023-05-30,,Open,Qualification,99,88146.3
OPP_0040,BD_016,SR_007,2024-09-14,2025-01-01,Closed Lost,Closed Lost,27,44510.82
OPP_0041,BD_004,SR_002,2024-02-15,2024-05-18,Closed Won,Closed Won,14,148433.58
OPP_0042,BD_004,SR_003,2024-11-19,,Open,Negotiation,10,32829.24
OPP_0043,BD_009,SR_008,2023-07-04,2023-11-02,Closed Won,Closed Won,9,76237.79
OPP_0044,BD_011,SR_018,2023-04-15,,Open,Qualification,51,35027.68
OPP_0045,BD_011,SR_001,2024-05-12,2024-06-20,Closed Lost,Closed Lost,3,54723.68
OPP_0046,BD_001,SR_013,2023-01-20,,Open,Qualification,19,54510.94
OPP_0047,BD_007,SR_014,2024-10-25,2025-04-05,Closed Lost,Closed Lost,12,108734.12
OPP_0048,BD_001,SR_016,2023-03-26,2023-07-15,Closed Won,Closed Won,23,34828.48
OPP_0049,BD_005,SR_014,2024-03-31,2024-07-09,Closed Lost,Closed Lost,7,62481.92
OPP_0050,BD_004,SR_008,2024-08-04,2024-12-14,Closed Won,Closed Won,5,62435.31
OPP_0051,BD_015,SR_011,2024-02-16,,Open,Negotiation,39,26026.03
OPP_0052,BD_011,SR_004,2023-05-30,,Open,Qualification,99,88146.3
OPP_0053,BD_006,SR_005,2023-11-27,,Open,Qualification,11,22905.18
OPP_0054,BD_001,SR_006,2024-08-21,,Open,Qualification,62,71347.37
OPP_0055,BD_010,SR_020,2024-11-06,2025-04-11,Closed Won,Closed Won,5,23613.43
OPP_0056,BD_007,SR_013,2024-10-09,2025-02-10,Closed Lost,Closed Lost,26,16937.51
OPP_0057,BD_004,SR_010,2023-08-17,,Open,Qualification,13,37381.49
OPP_0058,BD_011,SR_021,2023-11-18,,Open,Proposal,16,75518.98
OPP_0059,BD_002,SR_004,2024-08-30,2024-11-07,Closed Lost,Closed Lost,28,34628.75
OPP_0060,BD_009,SR_004,2023-01-12,2023-06-14,Closed Lost,Closed Lost,21,35800.64
OPP_0061,BD_012,SR_018,2024-03-11,,Open,Proposal,35,35390.4
OPP_0062,BD_001,SR_020,2023-09-18,2023-11-21,Closed Lost,Closed Lost,13,61082.66
OPP_0063,BD_008,SR_010,2024-07-17,2024-10-30,Closed Won,Closed Won,4,243878.48
OPP_0064,BD_006,SR_002,2023-08-26,,Open,Qualification,16,18482.94
OPP_0065,BD_001,SR_022,2023-08-04,2024-01-24,Closed Won,Closed Won,4,22559.19
OPP_0066,BD_015,SR_008,2023-12-05,,Open,Proposal,65,79274.42
OPP_0067,BD_017,SR_007,2024-02-19,2024-05-04,Closed Won,Closed Won,11,43406.44
OPP_0068,BD_004,SR_018,2023-05-20,2023-10-22,Closed Lost,Closed Lost,16,50327.33
OPP_0069,BD_007,SR_022,2023-06-30,2023-12-17,Closed Won,Closed Won,9,63983.56
OPP_0070,BD_001,SR_004,2024-02-01,2024-05-07,Closed Lost,Closed Lost,20,88603.08
OPP_0071,BD_013,SR_021,2023-06-19,,Open,Qualification,105,93875.06
OPP_0072,BD_005,SR_012,2023-04-12,2023-08-31,Closed Lost,Closed Lost,28,13734.23
OPP_0073,BD_006,SR_003,2024-10-25,2025-01-15,Closed Lost,Closed Lost,16,24802.14
OPP_0074,BD_011,SR_020,2024-04-27,,Open,Qualification,39,68136.76
OPP_0075,BD_001,SR_016,2023-03-26,2023-07-15,Closed Won,Closed Won,23,34828.48
OPP_0076,BD_018,SR_015,2024-07-30,2024-10-01,Closed Lost,Closed Lost,24,38915.62
OPP_0077,BD_015,SR_017,2023-01-13,,Open,Qualification,110,28792.77
OPP_0078,BD_001,SR_016,2023-03-26,2023-07-15,Closed Won,Closed Won,23,34828.48
OPP_0079,BD_003,SR_003,2023-12-05,2024-02-26,Closed Lost,Closed Lost,6,65049.52
OPP_0080,BD_008,SR_001,2023-02-09,2023-03-31,Closed Won,Closed Won,24,23734.89
OPP_0081,BD_003,SR_022,2024-02-21,,Open,Qualification,70,27412.4
OPP_0082,BD_016,SR_011,2023-03-02,,Open,Negotiation,114,27763.4
OPP_0083,BD_014,SR_003,2023-09-10,,Open,Proposal,2,102504.36
OPP_0084,BD_015,SR_018,2024-01-21,2024-04-10,Closed Won,Closed Won,16,31930.0
OPP_0085,BD_003,SR_004,2024-03-23,2024-08-16,Closed Lost,Closed Lost,15,56293.74
OPP_0086,BD_007,SR_016,2024-10-05,2025-01-09,Closed Won,Closed Won,2,39188.58
OPP_0087,BD_010,SR_003,2024-12-05,2025-04-16,Closed Lost,Closed Lost,18,44381.42
OPP_0088,BD_006,SR_019,2024-12-15,,Open,Qualification,110,125444.02
OPP_0089,BD_008,SR_009,2024-11-14,2025-01-28,Closed Won,Closed Won,20,31464.21
OPP_0090,BD_011,SR_018,2023-04-15,,Open,Qualification,51,35027.68
OPP_0091,BD_013,SR_010,2024-06-10,,Open,Qualification,47,67115.4
OPP_0092,BD_002,SR_018,2023-05-24,2023-09-12,Closed Lost,Closed Lost,10,14077.91
OPP_0093,BD_002,SR_009,2023-08-28,2024-02-10,Closed Lost,Closed Lost,5,64164.72
OPP_0094,BD_004,SR_007,2023-12-01,,Open,Negotiation,106,51997.79
OPP_0095,BD_012,SR_006,2023-09-06,2023-11-29,Closed Won,Closed Won,26,12303.81
OPP_0096,BD_010,SR_006,2023-03-10,2023-08-19,Closed Lost,Closed Lost,12,24565.25
OPP_0097,BD_007,SR_014,2024-10-25,2025-04-05,Closed Lost,Closed Lost,12,108734.12
OPP_0098,BD_010,SR_018,2023-05-14,,Open,Negotiation,54,58425.41
OPP_0099,BD_005,SR_017,2023-01-14,,Open,Proposal,15,21915.77
OPP_0100,BD_009,SR_007,2023-08-11,,Open,Negotiation,61,76913.8
OPP_0101,BD_018,SR_008,2024-09-25,,Open,Proposal,12,54545.64
OPP_0102,BD_006,SR_013,2023-03-30,2023-05-05,Closed Lost,Closed Lost,18,49379.76
OPP_0103,BD_015,SR_018,2024-01-21,2024-04-10,Closed Won,Closed Won,16,31930.0
OPP_0104,BD_008,SR_007,2024-06-11,2024-10-20,Closed Won,Closed Won,24,96273.09
OPP_0105,BD_006,SR_011,2023-03-17,,Open,Qualification,16,45283.42
OPP_0106,BD_003,SR_018,2024-09-08,2024-11-21,Closed Won,Closed Won,27,23340.45
OPP_0107,BD_009,SR_010,2024-05-12,2024-10-07,Closed Won,Closed Won,15,81081.05
OPP_0108,BD_015,SR_006,2024-01-07,2024-05-23,Closed Won,Closed Won,5,51009.0
OPP_0109,BD_018,SR_022,2024-08-17,,Open,Negotiation,54,65718.21
OPP_0110,BD_005,SR_017,2023-01-14,,Open,Proposal,15,21915.77
OPP_0111,BD_013,SR_008,2024-11-14,,Open,Qualification,115,44539.59
OPP_0112,BD_008,SR_012,2024-01-08,,Open,Proposal,30,64663.65
OPP_0113,BD_001,SR_009,2023-08-03,,Open,Proposal,9,125446.47
OPP_0114,BD_010,SR_022,2023-03-01,,Open,Qualification,99,53057.15
OPP_0115,BD_001,SR_006,2024-08-21,,Open,Qualification,62,71347.37
OPP_0116,BD_013,SR_013,2023-01-26,,Open,Qualification,75,10643.97
OPP_0117,BD_009,SR_020,2023-07-03,,Open,Qualification,11,122261.8
OPP_0118,BD_015,SR_015,2023-02-15,2023-04-27,Closed Won,Closed Won,19,97090.56
OPP_0119,BD_012,SR_016,2024-06-20,2024-09-21,Closed Won,Closed Won,12,35635.65
OPP_0120,BD_009,SR_016,2024-01-22,2024-04-08,Closed Won,Closed Won,1,112802.71
OPP_0121,BD_015,SR_012,2024-12-08,,Open,Qualification,17,34291.99
OPP_0122,BD_012,SR_019,2023-08-09,,Open,Qualification,68,59984.17
OPP_0123,BD_002,SR_015,2024-09-20,,Open,Proposal,117,28599.13
OPP_0124,BD_003,SR_010,2023-08-06,2023-11-09,Closed Won,Closed Won,22,54524.8
OPP_0125,BD_001,SR_003,2024-02-27,,Open,Qualification,11,34508.62
OPP_0126,BD_006,SR_007,2024-02-22,,Open,Qualification,119,25100.95
OPP_0127,BD_002,SR_011,2024-01-12,2024-03-04,Closed Lost,Closed Lost,5,13396.66
OPP_0128,BD_014,SR_016,2023-01-25,2023-07-22,Closed Lost,Closed Lost,8,61680.25
OPP_0129,BD_004,SR_018,2023-05-20,2023-10-22,Closed Lost,Closed Lost,16,50327.33
OPP_0130,BD_008,SR_005,2024-03-25,,Open,Proposal,11,60900.1
OPP_0131,BD_017,SR_023,2023-09-28,2024-03-18,Closed Won,Closed Won,16,83305.2
OPP_0132,BD_010,SR_003,2024-12-05,2025-04-16,Closed Lost,Closed Lost,18,44381.42
OPP_0133,BD_006,SR_012,2024-11-24,,Open,Proposal,112,60324.09
OPP_0134,BD_014,SR_006,2024-10-12,2025-01-30,Closed Lost,Closed Lost,2,51338.0
OPP_0135,BD_004,SR_022,2024-10-01,,Open,Qualification,58,111552.52
OPP_0136,BD_001,SR_022,2023-08-04,2024-01-24,Closed Won,Closed Won,4,22559.19
OPP_0137,BD_018,SR_013,2024-04-03,,Open,Negotiation,111,16106.27
OPP_0138,BD_004,SR_016,2023-04-14,,Open,Negotiation,41,51203.06
OPP_0139,BD_011,SR_005,2023-07-08,,Open,Qualification,82,27039.18
OPP_0140,BD_018,SR_023,2023-05-01,2023-09-04,Closed Won,Closed Won,19,26332.42
OPP_0141,BD_002,SR_007,2024-03-11,,Open,Qualification,26,36679.16
OPP_0142,BD_009,SR_019,2023-04-09,2023-07-29,Closed Won,Closed Won,15,20902.72
OPP_0143,BD_006,SR_002,2023-08-26,,Open,Qualification,16,18482.94
OPP_0144,BD_015,SR_021,2024-10-17,2025-04-10,Closed Lost,Closed Lost,2,39429.96
OPP_0145,BD_001,SR_002,2024-06-08,2024-09-15,Closed Lost,Closed Lost,17,74443.71
OPP_0146,BD_014,SR_012,2023-11-13,2024-04-17,Closed Won,Closed Won,20,90581.19
OPP_0147,BD_012,SR_019,2023-08-09,,Open,Qualification,68,59984.17
OPP_0148,BD_002,SR_023,2023-12-29,,Open,Qualification,8,96121.39
OPP_0149,BD_001,SR_022,2023-08-04,2024-01-24,Closed Won,Closed Won,4,22559.19
OPP_0150,BD_015,SR_013,2023-02-15,2023-04-09,Closed Lost,Closed Lost,4,81696.33
OPP_0151,BD_018,SR_004,2023-06-06,,Open,Negotiation,28,26734.82
OPP_0152,BD_003,SR_008,2023-05-20,,Open,Qualification,81,68319.53
OPP_0153,BD_015,SR_007,2023-03-13,,Open,Qualification,24,144736.14
OPP_0154,BD_002,SR_019,2024-08-31,,Open,Negotiation,94,42976.59
